Timestamp,Access Restricted,Are you feeling good right now?,"What do you mean by ""Somewhat""?",You can fix it. List some ways,List all actions/remedies,Are you the reason for your happiness?,Explain,Select the Ayes,Anything special?,"Type something that starts with ""I am"" or ""I have"" ",Brief description of your Day,Major Affairs,Overall Chart [Row 4],Is there a recent event that has affected your mood so drastically?,Explain what event affected you drastically and how it affected you.,"Now, that you got that out of your system and are thinking clearly, are you feeling good right now?",Please quickly list today's events that affected you such that you still remember it. Both negatives and positives. Approx time: 7-10 minutes,"List what you did and why you would have liked to change that. It is better to be clear in your grammar so a typical entry could start with - ""I did not..."" or ""I was very..."" ",,What are the existing life learnings/ideas/biases that got positively reinforced today?,List the existing life learnings/ideas/biases that changed or weakened today and explain how or why?,List some of the habits that you are (already/going to) trying to incorporate/break ,"List some events/activities that are planned for tomorrow. Also, describe how you are preparing for or performing in them.","Between now and the next 3-5 days, what change do you foresee, what milestone will you reach?","For the above-mentioned goals, chalk out a plan, or just a small action flow. ","Did you fail to follow/break any habits (not just from the ones that you've listed above)? If so, explain in detail why and how you will prevent that from happening again.","Long term goals are for a targetted duration of 3-5 months. Due to the long timeframe, specific questions cannot be framed. Feel free to let your heart out on this one.","List all the worries along with what you can do to reduce/alleviate them. If you don't have the latter, stop worrying about it :)",Just pour your heart out! ,"Type something that starts with ""I am"" or ""I have"" ","Type something that starts with ""I am"" or ""I have"" ","Type something that starts with ""I am"" or ""I have"" ","Type something that starts with ""I am"" or ""I have"" ",Chronology [Exercise / Yoga],Chronology [Brush], [Row 3],Chronology [Bath],Chronology [Breakfast],Chronology [Study / Read / Code], [Work],Chronology [Lunch],Chronology [Rest / Siesta],Chronology [Learn / Practise], [Row 9],Chronology [Play a sport],Chronology [Snacks],Chronology [Dinner],Chronology [Evening Read / Work],Chronology [Second brush], [Row 15],Chronology [Sleep],What is the thought that you would like to sleep on?,Chronology [Water],Chronology [Morning Dry Fruits],Chronology [Recreational Activity],Chronology [Take a dump],Chronology [Second Shat],Chronology [Third trip to the toilet ],What recreational activities/ learn / practise etc?,Describe meals of the day,,"This is the list of your previous ""I ams"", select one randomly",Tick off the ones you followed! Subconscious or Conscious!,Are you sure that you want to continue filling this form?,Chronology [Meditation],,Would you like to continue filling the form?,,,,,Chronology [Row 15],Chronology [Row 16],Worries
11/27/2017 8:26:42,3343,Yes,,,,Yes,"Both yes and no. Met Kriti. Love watching her laugh. More so when she gets angered by some statement and gets aggressive. 
Decent progress in Logic Assignment. Built this form. 
Couldn't spend much time with Bhai.  But then can't do much about it. ","Love, Intellect, Skills, Creativity",None,I am a hard worker,Woke up at 8. Oop in m in 1.5 hrs. Logic assignment. Practised questions and studied CTL. Met Kriti. Slept. ,"Learn and apply prolog
OOP - using functions to implement wait/resume
CTL and CTL* 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2017 0:21:27,3343,Yes,,,,Yes,Yeah it's mostly me. Dwait and me worked on the Matlab code and got it running. Discuss a better solution with Vikram based on what we didn't know about prolog. Spent time with Kriti. Learnt new things in DD,"Love, Friends, Intellect, Skills",Phased-out route processing. Needs to be channeled,I am more focused,"Woke up at 6. Texted Kriti. Meditated for 10 minutes. Slept off soon after and woke up at 7:30. Got up and brushed, washed face followed by breakfast (Coleslaw Sandwich, eggs, Sweet Dalia, Milk). Headed for DD Tut but it was cancelled just as Mathur had said. Came back, worked on prolog (checked new code) until it was time for topology. Felt sleepy in the class (disadvantages of not sleeping properly). Need to workout too. Understood a few statements. Then ODE. Solved a few problems. Followed by room where I read a little on statinf. Then DD lecture. Mistook someone for Kriti 😂 DD lecture was good today, with transmission gates etc. Walked with Kriti for a while and then went for lunch. Don't remember what happened next. But did go to Redi for fruits and juice. Then IPC working with dwait. Then dinner followed by IPC again but met Kriti on the way. Mostly finished the Matlab project and then discussed logic assignment with vikram and now going to sleep. ","Auto Climate, logic Assignment, Logic papers, Statinf study. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2017 23:50:12,3343,No,,,I am going to jot down all my ideas about the nature inspired pressure difference tree Algorithm and I am going to discuss the same with ShanB on the 9th or before. ,,,"Love, Health, Intellect, Skills, Spirit",Can't think of anything as of now,I am going to stop being pretentious,"Went to the gym, returned at 7:40. Bathe and then studied Topology for a few minutes before breakfast (pav bhaji)and then class. Topo - urysohn lemma and tietzes extension. Numal - glariken and Rayleigh Ritz. Logic - algorithms for model checking. Modal logic with cryptography and communication protocols. Luncheon (chola Bathura). Worked on Matlab code, went to ceeri. Got rl work for winters. Met Kriti at sky.  Went to anc, met beta. Went to akshay and bought things. Realised that I had lost my ID card. Had dinner. Studied logic. Mini date with Kriti. Too lovey. Came back and studied logic. Brushed. Met Vikram and finished logic assignment. Came back and going to sleep. ",Ceeri. Complete assignment. Akshay. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2017 1:10:19,3343,No,,,"I am going to stop thinking about practicalities when with Kriti. I love her, so why suppress any  feelings. ",,,"Love, Friends, Health, Intellect, Spirit, Family",Not that I can think of right now,I am going to be focused on a particular job at hand,"Woke up. Gym. Bath, mess, topo, logic assignment. Studied logic. DD lecture. Studied logic. Kept thinking about kriti. IPC, studied. Night with Kriti. Wanted to spend the whole night but was weighing compre and love. Regretted decision ","Studied logic - Hoare and temporal. 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/2017 0:53:56,3343,Somewhat,I don't know. Don't feel like taking this survey right now. ,I am going to think clearly before taking this survey from next time ,,,,"Love, Friends, Intellect",Noo,I am going to prioritize ,Don't feel like filling this. Need to change the question,Compres started. Nothing else going on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2017 1:17:27,3343,Somewhat,Overall I'm not feeling very good. ,"I am going to talk to those 2 and tell them.
I am going to focus on studies for these few days ",,,,"Love, Friends, Skills, Family",Nope. Had there been something I would have remembered?!,I am going to become a better learner,Not today. Have a compre tomorrow,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/2017 15:27:41,3343,No,,,I am not sure about the remedy. What is this relation if both can't disclose their insecurities on the spot and improve. Or is it that we take time to analyze it ourselves before letting others inside? Why think before saying anything unconventional and true? Is it fear? Fear of what? What else could it be? Is it because the bars already set too high? Then beat it where it matters. ,,,"Love, Friends, Intellect, Skills","ODE exam was good relatively. At least taking the exam was, i.e. finishing quickly and resting",I am going to focus properly while studying. I've realised the benefits,I think I need to stop recalling this. Somewhat painful and not sure about the result. ,Compres going on. Have a lot of small and big tasks at hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/2017 11:49:52,3343,No,,,"I am going to tell Aparna what I think. Even if it hurts her right now, it's better for everyone. 
I need to keep my phone available 24x7 - Quantiphi analytics",,,"Love, Friends, Intellect, Skills",Aparna opened up about everything. Felt good to hear from her.,I am going to think wisely and judiciously before taking any action,Delete this section. ,Vistara refund 🤘 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2017 22:32:32,3343,Somewhat,It's a strange feeling about whether things will become alright and also the fear of what next. What am I supposed to do next? What am I suppose to focus on? Should I kill off both?,I am going to be honest with both. I am going to stay just friends with Aparna and love kriti with all my life. I am going to talk to people to get good counselling. ,,,,"Adventure, Health","I'm dying. What special?
Spoke with Sarvesh about quantum. Told Surakshit in brief. It's good to talk it out",I am going to stay happy no matter what. ,Replace this with one memorable event in detail. Relive a good incident or learn from one,"Change the word ""affairs""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2017 22:26:51,3343,No,,,"I am not sure about the action/remedy. 
I know that I just need to focus on my work. ",,,"Spirit, Family",Opened up a lot with Mom,I am a smarter person,Edit,Hmm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2020 13:44:52,3343,Somewhat,,,,,,,,I am living in the moment,"Henry is sleeping right now and he has a midterm so I dont want to type. Also its late and I should sleep.

",,,No,,,"Unproductive at work

Too much thinking over autism

Created (updated) this form with the idea to practice typing like this

Realising the power of this internship with J D Owens

That I need to grow as a person","I would not have watched New Girl and instead started looking at my previous tasks at hand.

I would have been more productive at work instead of just setting my work station.

I would have better articulated and listened when speaking with Kery",,None that I can think of,"Got some insights into my muscle pain, high functioning autism, keeping grudges is not at all good. clear it out immediately.

Single child attention issues can be resolved with team sports","harmonica
fitness
sports
mental simulation
flow state while working
competitive programming","Sort out my research project search. No clue, a bit sleepy, but will just clean my mind and start afresh tomorrow.","Continue strong with Harmonica (get Scarborough Fair while biking)
Project decide","I dont have something like this, basically put in some daily harp time and thats enough.","fitness got killed for 3 days due to smoking and late sleeps, will change that
gym enrolment is pending
swimming",AI Residency,"Project decide - Its a worry that I can tackle by following John's advice and doing my research this week systematically.

Andy might be gay - So what, learn to accept everyone. And during the game of Never have I ever try to confirm this and show that you are cool.

Health - Will try to introduce more stretches for specific pains like Iliac Crest","New song - Dance Monkeys (most pop hit), helped me run strong.

Puzzles - I need to make sure that my kid does this. Hours of self time.",I am living in the moment,I am living in the moment,I am living in the moment,I am living in the moment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
